#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-07-05 09:57:07 EDT      (vaww01)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 14307620 SIUSLAW RIVER NEAR MAPLETON, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		114543	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	14307620	00060	114543	1968	1757
USGS	14307620	00060	114543	1969	2674
USGS	14307620	00060	114543	1970	2138
USGS	14307620	00060	114543	1971	2699
USGS	14307620	00060	114543	1972	3057
USGS	14307620	00060	114543	1973	1300
USGS	14307620	00060	114543	1974	3711
USGS	14307620	00060	114543	1975	2130
USGS	14307620	00060	114543	1976	2170
USGS	14307620	00060	114543	1977	575.6
USGS	14307620	00060	114543	1978	2345
USGS	14307620	00060	114543	1979	1348
USGS	14307620	00060	114543	1980	1780
USGS	14307620	00060	114543	1981	1677
USGS	14307620	00060	114543	1982	3030
USGS	14307620	00060	114543	1983	2861
USGS	14307620	00060	114543	1984	2239
USGS	14307620	00060	114543	1985	1767
USGS	14307620	00060	114543	1986	1851
USGS	14307620	00060	114543	1987	1702
USGS	14307620	00060	114543	1988	1616
USGS	14307620	00060	114543	1989	1829
USGS	14307620	00060	114543	1990	1555
USGS	14307620	00060	114543	1991	1617
USGS	14307620	00060	114543	1992	1154
USGS	14307620	00060	114543	1993	1887
USGS	14307620	00060	114543	1994	1133
USGS	14307620	00060	114543	2002	2138
USGS	14307620	00060	114543	2003	1931
USGS	14307620	00060	114543	2004	1753
USGS	14307620	00060	114543	2005	1116
USGS	14307620	00060	114543	2006	2514
USGS	14307620	00060	114543	2007	2118
USGS	14307620	00060	114543	2008	2115
USGS	14307620	00060	114543	2009	1476
USGS	14307620	00060	114543	2010	1871
USGS	14307620	00060	114543	2011	2232
USGS	14307620	00060	114543	2012	2363
USGS	14307620	00060	114543	2013	1689
USGS	14307620	00060	114543	2014	1599
USGS	14307620	00060	114543	2015	1536
USGS	14307620	00060	114543	2016	2073
USGS	14307620	00060	114543	2017	2925
USGS	14307620	00060	114543	2018	1650
USGS	14307620	00060	114543	2019	1510
USGS	14307620	00060	114543	2020	1315
USGS	14307620	00060	114543	2021	1581
USGS	14307620	00060	114543	2022	2089

