#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-07-05 09:59:10 EDT      (sdww02)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 14321000 UMPQUA RIVER NEAR ELKTON, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		114682	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	14321000	00060	114682	1906	6886
USGS	14321000	00060	114682	1907	9792
USGS	14321000	00060	114682	1908	7793
USGS	14321000	00060	114682	1909	8366
USGS	14321000	00060	114682	1910	7639
USGS	14321000	00060	114682	1911	6392
USGS	14321000	00060	114682	1912	8291
USGS	14321000	00060	114682	1913	7310
USGS	14321000	00060	114682	1914	6688
USGS	14321000	00060	114682	1915	4794
USGS	14321000	00060	114682	1916	9520
USGS	14321000	00060	114682	1917	8533
USGS	14321000	00060	114682	1918	7055
USGS	14321000	00060	114682	1919	8867
USGS	14321000	00060	114682	1920	6777
USGS	14321000	00060	114682	1921	12120
USGS	14321000	00060	114682	1922	8912
USGS	14321000	00060	114682	1923	6436
USGS	14321000	00060	114682	1924	3953
USGS	14321000	00060	114682	1925	9599
USGS	14321000	00060	114682	1926	4036
USGS	14321000	00060	114682	1927	8716
USGS	14321000	00060	114682	1928	6723
USGS	14321000	00060	114682	1929	4275
USGS	14321000	00060	114682	1930	4415
USGS	14321000	00060	114682	1931	3151
USGS	14321000	00060	114682	1932	7532
