#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-07-05 09:54:29 EDT      (vaww01)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 14306500 ALSEA RIVER NEAR TIDEWATER, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		114523	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	14306500	00060	114523	1940	1198
USGS	14306500	00060	114523	1941	881.1
USGS	14306500	00060	114523	1942	1185
USGS	14306500	00060	114523	1943	1825
USGS	14306500	00060	114523	1944	928.4
USGS	14306500	00060	114523	1945	1294
USGS	14306500	00060	114523	1946	1545
USGS	14306500	00060	114523	1947	1485
USGS	14306500	00060	114523	1948	1792
USGS	14306500	00060	114523	1949	1490
USGS	14306500	00060	114523	1950	1745
USGS	14306500	00060	114523	1951	2094
USGS	14306500	00060	114523	1952	1842
USGS	14306500	00060	114523	1953	1715
USGS	14306500	00060	114523	1954	2022
USGS	14306500	00060	114523	1955	1430
USGS	14306500	00060	114523	1956	2384
USGS	14306500	00060	114523	1957	1226
USGS	14306500	00060	114523	1958	1542
USGS	14306500	00060	114523	1959	1495
USGS	14306500	00060	114523	1960	1368
USGS	14306500	00060	114523	1961	1838
USGS	14306500	00060	114523	1962	1279
USGS	14306500	00060	114523	1963	1427
USGS	14306500	00060	114523	1964	1408
USGS	14306500	00060	114523	1965	1656
USGS	14306500	00060	114523	1966	1449
USGS	14306500	00060	114523	1967	1377
USGS	14306500	00060	114523	1968	1332
USGS	14306500	00060	114523	1969	1807
USGS	14306500	00060	114523	1970	1505
USGS	14306500	00060	114523	1971	1892
USGS	14306500	00060	114523	1972	2080
USGS	14306500	00060	114523	1973	924.8
USGS	14306500	00060	114523	1974	2541
USGS	14306500	00060	114523	1975	1450
USGS	14306500	00060	114523	1976	1454
USGS	14306500	00060	114523	1977	431.4
USGS	14306500	00060	114523	1978	1560
USGS	14306500	00060	114523	1979	966
USGS	14306500	00060	114523	1980	1328
USGS	14306500	00060	114523	1981	1138
USGS	14306500	00060	114523	1982	2108
USGS	14306500	00060	114523	1983	1959
USGS	14306500	00060	114523	1984	1574
USGS	14306500	00060	114523	1985	1224
USGS	14306500	00060	114523	1986	1237
USGS	14306500	00060	114523	1987	1238
USGS	14306500	00060	114523	1988	1110
USGS	14306500	00060	114523	1989	1280
USGS	14306500	00060	114523	1990	1156
USGS	14306500	00060	114523	1991	1102
USGS	14306500	00060	114523	1992	794.8
USGS	14306500	00060	114523	1993	1262
USGS	14306500	00060	114523	1994	731.1
USGS	14306500	00060	114523	1995	1782
USGS	14306500	00060	114523	1996	2088
USGS	14306500	00060	114523	1997	1837
USGS	14306500	00060	114523	1998	1533
USGS	14306500	00060	114523	1999	2148
USGS	14306500	00060	114523	2000	1409
USGS	14306500	00060	114523	2001	494.1
USGS	14306500	00060	114523	2002	1561
USGS	14306500	00060	114523	2003	1262
USGS	14306500	00060	114523	2004	1192
USGS	14306500	00060	114523	2005	898.9
USGS	14306500	00060	114523	2006	1657
USGS	14306500	00060	114523	2007	1505
USGS	14306500	00060	114523	2008	1452
USGS	14306500	00060	114523	2009	1021
USGS	14306500	00060	114523	2010	1355
USGS	14306500	00060	114523	2011	1626
USGS	14306500	00060	114523	2012	1686
USGS	14306500	00060	114523	2013	1373
USGS	14306500	00060	114523	2014	1289
USGS	14306500	00060	114523	2015	1219
USGS	14306500	00060	114523	2016	1619
USGS	14306500	00060	114523	2017	2271
USGS	14306500	00060	114523	2018	1273
USGS	14306500	00060	114523	2019	1096
USGS	14306500	00060	114523	2020	960.2
USGS	14306500	00060	114523	2021	1217
USGS	14306500	00060	114523	2022	1559

