#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-07-05 10:00:48 EDT      (vaww01)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 14325000 SOUTH FORK COQUILLE RIVER AT POWERS, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		114694	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	14325000	00060	114694	1917	757.1
USGS	14325000	00060	114694	1918	692.2
USGS	14325000	00060	114694	1919	878.4
USGS	14325000	00060	114694	1920	514.9
USGS	14325000	00060	114694	1921	1029
USGS	14325000	00060	114694	1922	796.4
USGS	14325000	00060	114694	1923	557.7
USGS	14325000	00060	114694	1924	397.3
USGS	14325000	00060	114694	1925	1033
USGS	14325000	00060	114694	1926	502.1
USGS	14325000	00060	114694	1930	419
USGS	14325000	00060	114694	1931	395.7
USGS	14325000	00060	114694	1932	785.9
USGS	14325000	00060	114694	1933	921.9
USGS	14325000	00060	114694	1934	442.1
USGS	14325000	00060	114694	1935	800.3
USGS	14325000	00060	114694	1936	767.1
USGS	14325000	00060	114694	1937	527
USGS	14325000	00060	114694	1938	1313
USGS	14325000	00060	114694	1939	493.3
USGS	14325000	00060	114694	1940	733.9
USGS	14325000	00060	114694	1941	671.9
USGS	14325000	00060	114694	1942	825.8
USGS	14325000	00060	114694	1943	969.3
USGS	14325000	00060	114694	1944	500.6
USGS	14325000	00060	114694	1945	745.2
USGS	14325000	00060	114694	1946	922.5
USGS	14325000	00060	114694	1947	627.8
USGS	14325000	00060	114694	1948	932.5
USGS	14325000	00060	114694	1949	651.4
USGS	14325000	00060	114694	1950	820.4
USGS	14325000	00060	114694	1951	1071
USGS	14325000	00060	114694	1952	952.9
USGS	14325000	00060	114694	1953	987.3
USGS	14325000	00060	114694	1954	1037
USGS	14325000	00060	114694	1955	657.9
USGS	14325000	00060	114694	1956	1289
USGS	14325000	00060	114694	1957	701.8
USGS	14325000	00060	114694	1958	1047
USGS	14325000	00060	114694	1959	732.8
USGS	14325000	00060	114694	1960	678.5
USGS	14325000	00060	114694	1961	908.3
USGS	14325000	00060	114694	1962	724.6
USGS	14325000	00060	114694	1963	862
USGS	14325000	00060	114694	1964	753.4
USGS	14325000	00060	114694	1965	949.7
USGS	14325000	00060	114694	1966	858.5
USGS	14325000	00060	114694	1967	896.7
USGS	14325000	00060	114694	1968	627
USGS	14325000	00060	114694	1969	943.2
USGS	14325000	00060	114694	1970	857.8
USGS	14325000	00060	114694	1971	1099
USGS	14325000	00060	114694	1972	1004
USGS	14325000	00060	114694	1973	553.8
USGS	14325000	00060	114694	1974	1374
USGS	14325000	00060	114694	1975	767.2
USGS	14325000	00060	114694	1976	614.9
USGS	14325000	00060	114694	1977	236.7
USGS	14325000	00060	114694	1978	897.7
USGS	14325000	00060	114694	1979	570.5
USGS	14325000	00060	114694	1980	747.3
USGS	14325000	00060	114694	1981	597.9
USGS	14325000	00060	114694	1982	1301
USGS	14325000	00060	114694	1983	1161
USGS	14325000	00060	114694	1984	924.6
USGS	14325000	00060	114694	1985	669
USGS	14325000	00060	114694	1986	816.5
USGS	14325000	00060	114694	1987	670.9
USGS	14325000	00060	114694	1988	606
USGS	14325000	00060	114694	1989	678.3
USGS	14325000	00060	114694	1990	471.8
USGS	14325000	00060	114694	1991	543.7
USGS	14325000	00060	114694	1992	414.9
USGS	14325000	00060	114694	1993	883.1
USGS	14325000	00060	114694	1994	377.6
USGS	14325000	00060	114694	1995	1070
USGS	14325000	00060	114694	1996	1048
USGS	14325000	00060	114694	1997	961.7
USGS	14325000	00060	114694	1998	930.6
USGS	14325000	00060	114694	1999	1143
USGS	14325000	00060	114694	2000	751.9
USGS	14325000	00060	114694	2001	282.7
USGS	14325000	00060	114694	2002	739.6
USGS	14325000	00060	114694	2003	727.9
USGS	14325000	00060	114694	2004	660.9
USGS	14325000	00060	114694	2005	531.7
USGS	14325000	00060	114694	2006	1069
USGS	14325000	00060	114694	2007	742.8
USGS	14325000	00060	114694	2008	799.1
USGS	14325000	00060	114694	2009	599.9
USGS	14325000	00060	114694	2010	816
USGS	14325000	00060	114694	2011	907.1
USGS	14325000	00060	114694	2012	864.8
USGS	14325000	00060	114694	2013	706.5
USGS	14325000	00060	114694	2014	426.1
USGS	14325000	00060	114694	2015	594.3
USGS	14325000	00060	114694	2016	927.7
USGS	14325000	00060	114694	2017	1311
USGS	14325000	00060	114694	2018	666.3
USGS	14325000	00060	114694	2019	744.9
USGS	14325000	00060	114694	2020	422.7
USGS	14325000	00060	114694	2021	637
USGS	14325000	00060	114694	2022	651.5

