#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-07-05 09:31:51 EDT      (vaww02)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 14301000 NEHALEM RIVER NEAR FOSS, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		114446	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	14301000	00060	114446	1940	2494
USGS	14301000	00060	114446	1941	1582
USGS	14301000	00060	114446	1942	2279
USGS	14301000	00060	114446	1943	2902
USGS	14301000	00060	114446	1944	1622
USGS	14301000	00060	114446	1945	2236
USGS	14301000	00060	114446	1946	3051
USGS	14301000	00060	114446	1947	2699
USGS	14301000	00060	114446	1948	3042
USGS	14301000	00060	114446	1949	2915
USGS	14301000	00060	114446	1950	3484
USGS	14301000	00060	114446	1951	3249
USGS	14301000	00060	114446	1952	2555
USGS	14301000	00060	114446	1953	2426
USGS	14301000	00060	114446	1954	3309
USGS	14301000	00060	114446	1955	2497
USGS	14301000	00060	114446	1956	4127
USGS	14301000	00060	114446	1957	2165
USGS	14301000	00060	114446	1958	2652
USGS	14301000	00060	114446	1959	2954
USGS	14301000	00060	114446	1960	2761
USGS	14301000	00060	114446	1961	3380
USGS	14301000	00060	114446	1962	2176
USGS	14301000	00060	114446	1963	2504
USGS	14301000	00060	114446	1964	2898
USGS	14301000	00060	114446	1965	2585
USGS	14301000	00060	114446	1966	2451
USGS	14301000	00060	114446	1967	2695
USGS	14301000	00060	114446	1968	2700
USGS	14301000	00060	114446	1969	2967
USGS	14301000	00060	114446	1970	2511
USGS	14301000	00060	114446	1971	3869
USGS	14301000	00060	114446	1972	3815
USGS	14301000	00060	114446	1973	1773
USGS	14301000	00060	114446	1974	4235
USGS	14301000	00060	114446	1975	2714
USGS	14301000	00060	114446	1976	3022
USGS	14301000	00060	114446	1977	1063
USGS	14301000	00060	114446	1978	2862
USGS	14301000	00060	114446	1979	1723
USGS	14301000	00060	114446	1980	2435
USGS	14301000	00060	114446	1981	2239
USGS	14301000	00060	114446	1982	3631
USGS	14301000	00060	114446	1983	3186
USGS	14301000	00060	114446	1984	2674
USGS	14301000	00060	114446	1985	2061
USGS	14301000	00060	114446	1986	2152
USGS	14301000	00060	114446	1987	2289
USGS	14301000	00060	114446	1988	1934
USGS	14301000	00060	114446	1989	2223
USGS	14301000	00060	114446	1990	2626
USGS	14301000	00060	114446	1991	2459
USGS	14301000	00060	114446	1992	1823
USGS	14301000	00060	114446	1993	1759
USGS	14301000	00060	114446	1994	1576
USGS	14301000	00060	114446	1995	3119
USGS	14301000	00060	114446	1996	4012
USGS	14301000	00060	114446	1997	3631
USGS	14301000	00060	114446	1998	2889
USGS	14301000	00060	114446	1999	4292
USGS	14301000	00060	114446	2000	2712
USGS	14301000	00060	114446	2001	1044
USGS	14301000	00060	114446	2002	3164
USGS	14301000	00060	114446	2003	2136
USGS	14301000	00060	114446	2004	2042
USGS	14301000	00060	114446	2005	1545
USGS	14301000	00060	114446	2006	2693
USGS	14301000	00060	114446	2007	3097
USGS	14301000	00060	114446	2008	2692
USGS	14301000	00060	114446	2009	2257
USGS	14301000	00060	114446	2010	2705
USGS	14301000	00060	114446	2011	3214
USGS	14301000	00060	114446	2012	3039
USGS	14301000	00060	114446	2013	2874
USGS	14301000	00060	114446	2014	2516
USGS	14301000	00060	114446	2015	2125
USGS	14301000	00060	114446	2016	3251
USGS	14301000	00060	114446	2017	3904
USGS	14301000	00060	114446	2018	2631
USGS	14301000	00060	114446	2019	1550
USGS	14301000	00060	114446	2020	2317
USGS	14301000	00060	114446	2021	2520

