#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-07-05 09:51:20 EDT      (vaww02)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 14305500 SILETZ RIVER AT SILETZ, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		114491	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	14305500	00060	114491	1906	1509
USGS	14305500	00060	114491	1907	2005
USGS	14305500	00060	114491	1908	1971
USGS	14305500	00060	114491	1909	1753
USGS	14305500	00060	114491	1910	2378
USGS	14305500	00060	114491	1911	1748
USGS	14305500	00060	114491	1926	1229
USGS	14305500	00060	114491	1927	2227
USGS	14305500	00060	114491	1928	2099
USGS	14305500	00060	114491	1929	1247
USGS	14305500	00060	114491	1930	1199
USGS	14305500	00060	114491	1931	987.7
USGS	14305500	00060	114491	1932	1755
USGS	14305500	00060	114491	1933	2164
USGS	14305500	00060	114491	1934	1666
USGS	14305500	00060	114491	1935	1592
USGS	14305500	00060	114491	1936	1227
USGS	14305500	00060	114491	1937	1318
USGS	14305500	00060	114491	1938	1927
USGS	14305500	00060	114491	1939	1116
USGS	14305500	00060	114491	1940	1370
USGS	14305500	00060	114491	1941	880.2
USGS	14305500	00060	114491	1942	1218
USGS	14305500	00060	114491	1943	1788
USGS	14305500	00060	114491	1944	1009
USGS	14305500	00060	114491	1945	1345
USGS	14305500	00060	114491	1946	1669
USGS	14305500	00060	114491	1947	1636
USGS	14305500	00060	114491	1948	1682
USGS	14305500	00060	114491	1949	1571
USGS	14305500	00060	114491	1950	1833
USGS	14305500	00060	114491	1951	1882
USGS	14305500	00060	114491	1952	1577
USGS	14305500	00060	114491	1953	1641
USGS	14305500	00060	114491	1954	1859
USGS	14305500	00060	114491	1955	1368
USGS	14305500	00060	114491	1956	2152
USGS	14305500	00060	114491	1957	1234
USGS	14305500	00060	114491	1958	1524
USGS	14305500	00060	114491	1959	1685
USGS	14305500	00060	114491	1960	1476
USGS	14305500	00060	114491	1961	1812
USGS	14305500	00060	114491	1962	1287
USGS	14305500	00060	114491	1963	1372
USGS	14305500	00060	114491	1964	1421
USGS	14305500	00060	114491	1965	1570
USGS	14305500	00060	114491	1966	1279
USGS	14305500	00060	114491	1967	1404
USGS	14305500	00060	114491	1968	1443
USGS	14305500	00060	114491	1969	1723
USGS	14305500	00060	114491	1970	1404
USGS	14305500	00060	114491	1971	1861
USGS	14305500	00060	114491	1972	2085
USGS	14305500	00060	114491	1973	1059
USGS	14305500	00060	114491	1974	2337
USGS	14305500	00060	114491	1975	1548
USGS	14305500	00060	114491	1976	1723
USGS	14305500	00060	114491	1977	660
USGS	14305500	00060	114491	1978	1586
USGS	14305500	00060	114491	1979	1091
USGS	14305500	00060	114491	1980	1211
USGS	14305500	00060	114491	1981	1235
USGS	14305500	00060	114491	1982	1731
USGS	14305500	00060	114491	1983	1811
USGS	14305500	00060	114491	1984	1594
USGS	14305500	00060	114491	1985	1159
USGS	14305500	00060	114491	1986	1237
USGS	14305500	00060	114491	1987	1220
USGS	14305500	00060	114491	1988	1099
USGS	14305500	00060	114491	1989	1327
USGS	14305500	00060	114491	1990	1278
USGS	14305500	00060	114491	1991	1356
USGS	14305500	00060	114491	1992	929.3
USGS	14305500	00060	114491	1993	1231
USGS	14305500	00060	114491	1994	989.7
USGS	14305500	00060	114491	1995	1698
USGS	14305500	00060	114491	1996	2142
USGS	14305500	00060	114491	1997	1949
USGS	14305500	00060	114491	1998	1471
USGS	14305500	00060	114491	1999	2068
USGS	14305500	00060	114491	2000	1637
USGS	14305500	00060	114491	2001	660.5
USGS	14305500	00060	114491	2002	1618
USGS	14305500	00060	114491	2003	1292
USGS	14305500	00060	114491	2004	1295
USGS	14305500	00060	114491	2005	997
USGS	14305500	00060	114491	2006	1513
USGS	14305500	00060	114491	2007	1494
USGS	14305500	00060	114491	2008	1482
USGS	14305500	00060	114491	2009	1316
USGS	14305500	00060	114491	2010	1392
USGS	14305500	00060	114491	2011	1759
USGS	14305500	00060	114491	2012	1691
USGS	14305500	00060	114491	2013	1502
USGS	14305500	00060	114491	2014	1333
USGS	14305500	00060	114491	2015	1276
USGS	14305500	00060	114491	2016	1624
USGS	14305500	00060	114491	2017	2063
USGS	14305500	00060	114491	2018	1390
USGS	14305500	00060	114491	2019	969.9
USGS	14305500	00060	114491	2020	1237
USGS	14305500	00060	114491	2021	1358
USGS	14305500	00060	114491	2022	1696

