#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-07-05 10:03:20 EDT      (caww02)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 11532500 SMITH R NR CRESCENT CITY CA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		12011	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	11532500	00060	12011	1932	3374
USGS	11532500	00060	12011	1933	3883
USGS	11532500	00060	12011	1934	2139
USGS	11532500	00060	12011	1935	3802
USGS	11532500	00060	12011	1936	3164
USGS	11532500	00060	12011	1937	3023
USGS	11532500	00060	12011	1938	4944
USGS	11532500	00060	12011	1939	2317
USGS	11532500	00060	12011	1940	3254
USGS	11532500	00060	12011	1941	3337
USGS	11532500	00060	12011	1942	3582
USGS	11532500	00060	12011	1943	4927
USGS	11532500	00060	12011	1944	2391
USGS	11532500	00060	12011	1945	3623
USGS	11532500	00060	12011	1946	4274
USGS	11532500	00060	12011	1947	2692
USGS	11532500	00060	12011	1948	4006
USGS	11532500	00060	12011	1949	3080
USGS	11532500	00060	12011	1950	3903
USGS	11532500	00060	12011	1951	5423
USGS	11532500	00060	12011	1952	4679
USGS	11532500	00060	12011	1953	4688
USGS	11532500	00060	12011	1954	4815
USGS	11532500	00060	12011	1955	2683
USGS	11532500	00060	12011	1956	5736
USGS	11532500	00060	12011	1957	3604
USGS	11532500	00060	12011	1958	5206
USGS	11532500	00060	12011	1959	3102
USGS	11532500	00060	12011	1960	3340
USGS	11532500	00060	12011	1961	4141
USGS	11532500	00060	12011	1962	2963
USGS	11532500	00060	12011	1963	4323
USGS	11532500	00060	12011	1964	3454
USGS	11532500	00060	12011	1965	3796
USGS	11532500	00060	12011	1966	3774
USGS	11532500	00060	12011	1967	4318
USGS	11532500	00060	12011	1968	2883
USGS	11532500	00060	12011	1969	4121
USGS	11532500	00060	12011	1970	4168
USGS	11532500	00060	12011	1971	5406
USGS	11532500	00060	12011	1972	5335
USGS	11532500	00060	12011	1973	2661
USGS	11532500	00060	12011	1974	7027
USGS	11532500	00060	12011	1975	3849
USGS	11532500	00060	12011	1976	3029
USGS	11532500	00060	12011	1977	975.1
USGS	11532500	00060	12011	1978	5140
USGS	11532500	00060	12011	1979	2614
USGS	11532500	00060	12011	1980	3891
USGS	11532500	00060	12011	1981	2553
USGS	11532500	00060	12011	1982	6458
USGS	11532500	00060	12011	1983	5475
USGS	11532500	00060	12011	1984	4886
USGS	11532500	00060	12011	1985	2954
USGS	11532500	00060	12011	1986	4397
USGS	11532500	00060	12011	1987	2754
USGS	11532500	00060	12011	1988	2509
USGS	11532500	00060	12011	1989	3566
USGS	11532500	00060	12011	1990	2387
USGS	11532500	00060	12011	1991	2095
USGS	11532500	00060	12011	1992	1644
USGS	11532500	00060	12011	1993	4243
USGS	11532500	00060	12011	1994	1724
USGS	11532500	00060	12011	1995	4669
USGS	11532500	00060	12011	1996	5008
USGS	11532500	00060	12011	1997	4942
USGS	11532500	00060	12011	1998	4439
USGS	11532500	00060	12011	1999	4922
USGS	11532500	00060	12011	2000	3323
USGS	11532500	00060	12011	2001	1246
USGS	11532500	00060	12011	2002	3320
USGS	11532500	00060	12011	2003	3794
USGS	11532500	00060	12011	2004	3241
USGS	11532500	00060	12011	2005	3042
USGS	11532500	00060	12011	2006	5301
USGS	11532500	00060	12011	2007	3633
USGS	11532500	00060	12011	2008	3301
USGS	11532500	00060	12011	2009	3279
USGS	11532500	00060	12011	2010	3767
USGS	11532500	00060	12011	2011	4399
USGS	11532500	00060	12011	2012	3955
USGS	11532500	00060	12011	2013	3074
USGS	11532500	00060	12011	2014	2396
USGS	11532500	00060	12011	2015	2734
USGS	11532500	00060	12011	2016	4262
USGS	11532500	00060	12011	2017	6278
USGS	11532500	00060	12011	2018	2917
USGS	11532500	00060	12011	2019	3399
USGS	11532500	00060	12011	2020	2137
USGS	11532500	00060	12011	2021	2483
USGS	11532500	00060	12011	2022	2801

